Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
1,Correct,No,Sure I'm Right,D1_L1_Chem_for_Engineers,73,19,"A chemical contains an NFPA diamond, where the yellow quadrant shows a number of 3, which means the chemical:",C. May detonate upon contact with shock or heat,C. May detonate upon contact with shock or heat
2,Incorrect,No,Confident,D1_L6_Physical_Chemistry,52,39,Which of the following statements is true?,B. It is impossible to go from vapor phase to liquid phase without condensation,A. Trouton's rule fails for highly polar liquids
3,Incorrect,No,Guess,D1_L7_CT_Biochemistry,122,31,RFLP is a ____________,C. Method of producing GMOs,D. Molecular marker
4,Correct,No,Slightly Confident,D1_L3_Analytical_Chemistry,41,245,"The formaldehyde content of a pesticide preparation was determined by weighing 0.2985 g of the liquid sample into a flask containing 50 mL of 0.0959 M NaOH and 50 mL of 3% H₂O₂. Upon heating, the formaldehyde was oxidized to acetate, consuming the base in a 1:1 ratio. After cooling, the excess base was titrated with 22.71 mL of 0.0537 M H₂SO₄. Calculate the percentage of formaldehyde (30.026) in the sample.",D. 23.7%,D. 23.7%
5,Correct,No,Sure I'm Right,D1_L1_Chem_for_Engineers,37,9,A product has a flash point of 258C and emits toxic fumes when heated--what specific SDS sections would you reference to further evaluate these hazards?,B. Section 2,B. Section 2
6,Incorrect,No,Confident,D1_L5_Material_Science_Engineering,32,16,The defect which takes place due to imperfect packing of atoms during crystallization is known as,C. volume,A. point
7,Correct,No,Sure I'm Right,D1_L7_CT_Biochemistry,7,14,What are the monomers of lipids?,C. Fatty acids and glycerol,C. Fatty acids and glycerol
8,Correct,No,Confident,D1_L3_Analytical_Chemistry,10,262,"The amount of calcium present in milk can be determined by adding oxalate to a sample and measuring the mass of calcium oxalate precipitated. What is the mass percent of calcium, if 0.429 g of calcium oxalate forms in a 125 g sample of milk when excess aqueous sodium oxalate is added.",A. 0.11%,A. 0.11%
9,Incorrect,No,Sure I'm Right,D1_L5_Material_Science_Engineering,89,91,A solution has an absorbance of 1.2 when measured in a 1 cm path length cuvette. What will happen to the absorbance if the path length is increased to 2 cm while keeping the concentration constant?,B. Absorbance will be halved,C. Absorbance will double
10,Incorrect,No,Slightly Confident,D1_L5_Material_Science_Engineering,19,16,The number of atoms per unit cell in a body-centered cubic structure is:,B. 4,C. 2
