Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
1,Correct,No,Sure I'm Right,CT_Chemical_Safety,4,3,A researcher working in the lab where hazardous liquid chemicals are present. Which of the following is not considered appropriate PPE for this situation?,A. Wire mesh gloves,A. Wire mesh gloves
2,Correct,No,Sure I'm Right,CT_Chemical_Safety,19,1,Which of the following should not be used during dry ashing?,D. Glass,D. Glass
3,Correct,No,Sure I'm Right,CT_Chemical_Safety,13,8,Which of the following is not a GHS pictogram,B. Gas tank,B. Gas tank
4,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,29,2,Compounds have been formed from which of the following noble gas elements?,D. Kr; Xe; and Rn,D. Kr; Xe; and Rn
5,Correct,No,Guess,CT_Organic_Chemistry,30,32,Which reagent would be best in order to have an E2 elimination reaction of 3-chloropentane,C. NaOC2H5,C. NaOC2H5
6,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,3,69,Which of the following is not equivalent to 1000 pF,B. 0.1x10-10 nF,B. 0.1x10-10 nF
7,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,24,8,Which of the following statements best describe a primary method? I. Set of instructions about how to carry out a method issued by a national standards body II. It has the highest metrological qualities III. Method that employs the use of materials such as certified reference materials IV. Titration of hydrochloric acid with anhydrous sodium carbonate to determine the concentration of the acid,C. II and IV,C. II and IV
8,Correct,No,Sure I'm Right,CT_Organic_Chemistry,6,2,How many constitutional isomers are possible for C5H12?,C. 3,C. 3
9,Incorrect,Yes,Confident,CT_Analytic_Chemistry,13,26,A 25.00 mL sample of 0.100 M acetic acid (CH₃COOH) is titrated with 0.100 M NaOH at 25°C. The acid has Ka=1.8×10−5. Determine the pH of the solution at each of the following points during the titration: What is the approximate pH after 25.0 mL of 0.100 M NaOH has been added?,A. 7.00,C. 8.72
10,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,8,5,Which of the following observation/s will require a process to stop immediately? I. Results lie outside action limits. II. 3 consecutive measurements on one side of the central limit. III. 7 consecutive measurements create an increasing trend. IV. Values are within warning limits,B. I and III,B. I and III
11,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,45,24,"For the reaction SO2 + O2 → SO3, what is the maximum weight of SO3 (80 g/mol) that can be produced from 40 g of SO2 (64 g/mol) and 8 g of O2 (32 g//mol)",D. 40 g,D. 40 g
12,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,28,1,Sodium carbonate is also known as?,B. Soda ash,B. Soda ash
13,Correct,No,Sure I'm Right,CT_Organic_Chemistry,11,5,The hydrocarbon with the lowest boiling point is?,A. Methane,A. Methane
14,Correct,No,Sure I'm Right,CT_Organic_Chemistry,25,7,What is the product from the Friedel-Crafts alkylation of nitrobenzene?,B. m-nitrotoluene,B. m-nitrotoluene
15,Correct,No,Not Set,CT_Quality_Control_Assurance,10,4,"A material, sufficiently homogenous and stable with respect to one or more specified property values, which has been established to be for its intended use in a measurement process",C. Reference Materials (RM),C. Reference Materials (RM)
16,Correct,No,Sure I'm Right,CT_Organic_Chemistry,32,2,An industrial source of alcohol is,C. sugar,C. sugar
17,Correct,No,Sure I'm Right,CT_Chemical_Safety,29,2,What are the components of the fire triangle?,"B. Oxygen, fuel, heat","B. Oxygen, fuel, heat"
18,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,40,93,When the partial pressure of methane in a 100-gram mixture of methane and argon (39.95 glmol) if it is found that argon is 10% by mass and the total pressure is 250 torr?,B. 239 torr,B. 239 torr
19,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,9,3,A series of reference standard solutions that have known and accurate pH values at different temperatures and are used for pH meter calibration.,A. Buffer solutions,A. Buffer solutions
20,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,46,82,"Ammonia is produced in according to the equation N2 + 3H2 → 2NH3. in a particular experiment, 0.25 mol of NH3 is formed when 0.5 mol of N2 is reacted with 0.5 mol of H2. What is the percent yield?",A. 75%,A. 75%
