Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
1,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,52,34,Which of the following statements is/are true? I. Dry ashing is primarily for proximate composition and for some types of specific mineral analyses. II. Wet ashing is done as a preparation for the analysis of certain minerals III. Microwave systems are now available for both dry and wet ashing to speed the process,"D. I, II, and III","D. I, II, and III"
2,Correct,No,Sure I'm Right,CT_Chemical_Safety,5,8,Examples of activities that require appropriate eye protection include,D. All of the above,D. All of the above
3,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,11,13,"Which of the following is not a possible set of quantum numbers (n, l, ml; ms)?","C. 3 1, 2, -1/2","C. 3 1, 2, -1/2"
4,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,24,7,What is the chemical formula of hypobromous acid?,B. HBrO,B. HBrO
5,Correct,No,Sure I'm Right,CT_Organic_Chemistry,24,7,AlCl3 is a catalyst used in the alkylation and acylation of aromatic compounds. It is a/an __?,C. Lewis acid,C. Lewis acid
6,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,4,4,How many significant figures are there in 4.20,B. 3,B. 3
7,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,5,8,Which of the following is/are true about quality assurance? I. QA is a set of activities for ensuring quality in the process by which products are developed II. QA is a corrective tool and product oriented.,A. I only,A. I only
8,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,36,17,"It is the nominal volume of water (or mercury) contained, or delivered by an article of volumetric glassware, at its reference temperature",C. capacity,C. capacity
9,Incorrect,No,Confident,CT_Organic_Chemistry,3,150,Which of the following compounds has the shortest CN bond length?,B. Acetamide,C. Benzonitrile
10,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,3,9,This quality system standard is a general requirement for the competence of testing and calibration laboratories,D. ISO/IEC 17025,D. ISO/IEC 17025
11,Correct,No,Sure I'm Right,CT_Organic_Chemistry,52,42,All of the following are properties of an organic solvent for extraction except,B. React with the desired substance,B. React with the desired substance
12,Correct,No,Sure I'm Right,CT_Chemical_Safety,34,5,These are solid particles of a substance or mixture suspended in a gas,B. Dusts,B. Dusts
13,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,46,16,Which of the following can cause errors during sample preparation? I. Loss of sample during weighting or dissolution II. Contamination by impurities in reagents and in the environment III. Changes in mass due to varying humidity and temperature IV. Obtaining nonhomogeneous sample from the bulk.,"D. I, II, III, and IV","D. I, II, III, and IV"
14,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,23,5,What is the name of HIO4,D. Periodic acid,D. Periodic acid
15,Incorrect,No,Sure I'm Right,CT_Organic_Chemistry,38,145,Which of the following can react with NaOH?,C. Ethylene,A. Phenol
16,Correct,No,Sure I'm Right,CT_Chemical_Safety,14,6,The following information can be found in a safety data sheet except,D. None of the above,D. None of the above
17,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,7,23,The acid secreted by the cell of the stomach lining is a hydrochloric acid solution that typically contains 1.2 x 10-3 M. what is the pH of the acid in the stomach?,B. 2.92,B. 2.92
18,Correct,No,Confident,CT_Organic_Chemistry,46,137,"Give the identity of the product Xin the reaction given below Acetaldehyde + CH3MgBr -> (Ether, H3O+/H2O) = X + Mg(OH)Br",A. 2-propanol,A. 2-propanol
19,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,8,285,Which of the following observation/s will require a process to stop immediately? I. Results lie outside action limits. II. 3 consecutive measurements on one side of the central limit. III. 7 consecutive measurements create an increasing trend. IV. Values are within warning limits,B. I and III,B. I and III
20,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,6,5,A drug sample contains 10.0 ug/L of its active ingredient. A 5.0 ug/L of spike was added to replicate a portion of the drug. The spiked sample gave a concentration of 14.6 ug/L. What is the percent recovery of the spike?,C. 92,C. 92
21,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,51,4,Which of the following should not be used during dry ashing?,D. Glass,D. Glass
22,Correct,No,Sure I'm Right,CT_Chemical_Safety,30,8,What hazards are presented by the given GHS pictogram? Flame over fire,"B. Oxidizers, organic peroxides","B. Oxidizers, organic peroxides"
23,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,34,4,Which of the following will have the lowest viscosity?,D. Heptane at 30 C,D. Heptane at 30 C
24,Correct,No,Sure I'm Right,CT_Organic_Chemistry,59,6,Which of the following funnels should be used to filter hot mother liquor during recrystallization?,D. Short stem funneb,D. Short stem funneb
25,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,13,4,Which of the following has a valence electron configuration of 5s2 5p32,B. Antimony,B. Antimony
26,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,14,13,It is a laboratory quality control activity that is used to verify that an instrument works correctly on a day-to-day basis.,C. System suitability checking,C. System suitability checking
27,Correct,No,Sure I'm Right,CT_Chemical_Safety,18,9,Sample preparation technique used prior to instrumental analysis of metals.,C. Acid digestion,C. Acid digestion
28,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,7,7,A technique used to evaluate the performance of a procedure when testing a specific sample type.,A. Spiking,A. Spiking
29,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,2,8,Process in which all of the modifications made into a laboratory activity are documented,B. Audit trail,B. Audit trail
30,Correct,No,Sure I'm Right,CT_Chemical_Safety,24,12,"According to the Department of Trade and Industry-Bureau of Philippine Standards (DTI-BPS), what color designations correspond to a foam-type fire extinguisher?","C. Red body, blue band","C. Red body, blue band"
31,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,31,8,"Among the following noble gases, which has the strongest intermolecular force?",B. Xe,B. Xe
32,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,9,104,Whose model illustrates that negative charges are scattered around an atom?,B. Thomson,B. Thomson
33,Correct,No,Sure I'm Right,CT_Organic_Chemistry,55,111,"In liquid-liquid extraction, it is often necessary to determine the aqueous and organic layers. To test the layers, a drop of water can be added to the top layer. If the drop of water dissolves in the top layer, then the top layer is?",B. aqueous,B. aqueous
34,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,10,76,"A material, sufficiently homogenous and stable with respect to one or more specified property values, which has been established to be for its intended use in a measurement process",C. Reference Materials (RM),C. Reference Materials (RM)
35,Correct,Yes,Confident,CT_Organic_Chemistry,53,37,All of the following are properties of an organic solvent for extraction except,B. Venting,B. Venting
36,Correct,No,Sure I'm Right,CT_Organic_Chemistry,14,55,"Alkenes and alkynes, because they contain 𝜋 bonds, undergo this type of reaction",A. Electrophilic addition,A. Electrophilic addition
37,Correct,No,Sure I'm Right,CT_Organic_Chemistry,23,20,"Which of the following substituents is not an ortho, para director in an EAS reaction?",C. -NO2,C. -NO2
38,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,5,14,The lining of the stomach contains cells that secrete a solution of HCl. Which drink would best alleviate heartburn (i. e. excess acid in the stomach),D. Milk of magnesia (pH 10.5),D. Milk of magnesia (pH 10.5)
39,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,12,9,A type of blank that is commonly used with techniques such as spectrophotometry to zero the instrument before measuring test samples and other blanks.,A. Reagent blank,A. Reagent blank
40,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,5,25,Arrange the following scenarios according to the scientific method: I. Different solvents are used in trials to process raw material X. II. Raw material X yielded more products than the original material. III. A previous study suggested the usage of a different raw material X.,"A. III, I, II","A. III, I, II"
41,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,43,18,Which technique is recommended for determining the odor of an unknown liquid in the laboratory?,D. Use a hand to fan some of the vapor from the test tube to the nose and inhale.,D. Use a hand to fan some of the vapor from the test tube to the nose and inhale.
42,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,19,11,What is the formal charge of the rightmost oxygen atom?,C. -1,C. -1
43,Correct,No,Sure I'm Right,CT_Chemical_Safety,3,11,"For safety, long hair needs to",B. Be tied back,B. Be tied back
44,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,49,6,"In an experiment to determine the percentage of water in a solid hydrate by heating, what is the best indication that all the water has been removed?",D. Successive weighing give the same mass,D. Successive weighing give the same mass
45,Correct,No,Sure I'm Right,CT_Chemical_Safety,11,9,The white section of the NFPA diagram corresponds to the special hazard of the material. Which of the following is not considered as special hazard?,C. EXP,C. EXP
46,Correct,No,Sure I'm Right,CT_Quality_Control_Assurance,9,9,A series of reference standard solutions that have known and accurate pH values at different temperatures and are used for pH meter calibration.,A. Buffer solutions,A. Buffer solutions
47,Correct,No,Sure I'm Right,CT_Chemical_Safety,27,8,Which of the following functional groups pose explosion hazards? I. Azide II. Peroxide III. Sulfide IV. Hydrocarbons,A. I and II,A. I and II
48,Correct,No,Sure I'm Right,CT_Chemical_Safety,2,34,"When exposure to hazards cannot be engineered completely out of normal operations, this supplementary method of control can be used.",D. Use of PPE,D. Use of PPE
49,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,53,10,"In the decomposition and dissolution of solids during sample preparation, which of the following is expensive and often the last resort?",A. Fusion technique,A. Fusion technique
50,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,25,22,It is the fraction of the named material present in the stated chemical form.,B. Purity,B. Purity
