Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
1,Incorrect,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,37,54,Good Laboratory Practices are concerned with laboratory activities from,C. Manufacturing to product distribution,B. Planning through reporting and archiving of results
2,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,61,36,"If the absolute temperature of a confined gas is doubled while volume is held constant, what happens to the pressure?",A. It doubles.,A. It doubles.
3,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,58,19,Which of the following is a required characteristic of a QC sample?,C. It must be fully characterized,C. It must be fully characterized
4,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,4,14,Which substance will require the greatest amount of work to increase its surface area?,A. Butanol,A. Butanol
5,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,54,18,What are the products of the reaction between HNO₃ and NH₄OH?,C. NH₄NO₃ + H₂O,C. NH₄NO₃ + H₂O
6,Incorrect,No,Confident,CT_PT_Laboratory_Instrumentation,20,23,"A compound has tᵣ = 10 min and tₘ = 2 min. What is its retention factor, k?",D. 8,B. 4
7,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,74,16,"After washing laboratory glassware with detergent and rinsing with tap water, the final rinse should use:",C. deionized water,C. deionized water
8,Incorrect,No,Guess,CT_PT_Laboratory_Instrumentation,52,28,Which analytical balance typically has a maximum capacity of approximately 180 to 200 g and a precision of ±0.1 mg?,A. micro balance,C. macro balance
9,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,54,15,The mobile phase that exits a chromatographic column is called the,A. eluate,A. eluate
10,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,14,8,Whose atomic model illustrates negative charges scattered throughout an atom?,D. Thomson,D. Thomson
11,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,50,28,A sample inserted into an analytical batch without the analyst knowing its identity is called a,A. Blind sample,A. Blind sample
12,Incorrect,No,Confident,CT_PT_Laboratory_Instrumentation,19,26,"The selectivity factor, α, compares the",C. detector responses of two solutes,B. retention of two solutes
13,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,50,15,Which conjugate acid–base pair should be used to prepare a buffer with a pH near 7.15?,"C. Sodium dihydrogen phosphate and sodium hydrogen phosphate, pKₐ₂ = 7.20","C. Sodium dihydrogen phosphate and sodium hydrogen phosphate, pKₐ₂ = 7.20"
14,Correct,No,Confident,CT_PT_Inorganic_Chemistry,57,34,Which species is isoelectronic with neon?,A. F⁻,A. F⁻
15,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,31,8,Compounds have been prepared from which noble-gas elements?,"D. Kr, Xe, and Rn","D. Kr, Xe, and Rn"
16,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,30,17,Which of the following correctly describes Quality Assurance?,C. Proactive and process-oriented,C. Proactive and process-oriented
17,Incorrect,No,Confident,CT_PT_Analytical_Chemistry,77,40,"It is the portion of the calibration curve that includes the concentration range in which the analyte can be determined with demonstrated precision, accuracy, and response function.",B. Limit of quantification,C. Working range
18,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,7,20,"When Cr³⁺ changes from an oxidation state of +3 to +6, Cr³⁺ will",C. Lose 3 electrons,C. Lose 3 electrons
19,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,58,20,"During dry ashing, carbon present in the sample is primarily oxidized to",B. CO₂,B. CO₂
20,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,26,53,Which species corresponds to the electron configuration 1s²2s²2p⁶?,B. Na⁺,B. Na⁺
21,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,29,27,The following are characteristics of gases EXCEPT,A. Pressure exerted by a gas decreases as temperature increases.,A. Pressure exerted by a gas decreases as temperature increases.
22,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,48,30,What is the concentration in ppm of 0.0150 g Pb²⁺ dissolved in 2.00 L of solution?,B. 7.50 ppm,B. 7.50 ppm
23,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,55,35,Good Manufacturing Practice requires products intended for human consumption to be,"B. Safe, pure, and effective","B. Safe, pure, and effective"
24,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,76,31,Reversed-phase chromatography refers to which of the following?,A. A nonpolar stationary phase and a polar mobile phase,A. A nonpolar stationary phase and a polar mobile phase
25,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,53,4191,At the equivalence point of an acid–base titration,C. Stoichiometrically equivalent amounts of acid and base have reacted.,C. Stoichiometrically equivalent amounts of acid and base have reacted.
26,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,13,34,"In atomic spectroscopy, converting a sample into gas-phase atoms or elementary ions is called",B. atomization,B. atomization
