Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
1,Correct,No,Sure I'm Right,D3_L14_Physics,71,24,"Water is flowing in a fire hose with a velocity of 1 m/s and a pressure of 200 kPa. At the nozzle, the pressure decreases to atmospheric pressure, and there is no change in height. Use the Bernoulli equation to calculate the velocity of the water exiting the nozzle.",B. 14 m/s,B. 14 m/s
2,Incorrect,No,Confident,D3_L9_CPI,91,6,__________ glass has the lowest co-efficient of thermal expansion and hence is more heat resistant.,C. Soda lime,A. Pyrex
3,Incorrect,Yes,Guess,D3_L8_Integral_Calculus,40,92,"What is the volume generated when the area in the first quadrant bounded by the curve x²=8y, the line x=4, and the x-axis is revolved about the y-axis?",B. 45.78,C. 50.26
4,Correct,No,Confident,D3_L9_CPI,40,5,Which of the following is not produced on commercial scale from sea water?,D. Sodium sulphate,D. Sodium sulphate
5,Incorrect,Yes,Guess,D3_L14_Physics,27,143,"A 2.29-m long organ pipe acts as a closed-end resonator that produces several different harmonic frequencies in the audible range from 20 Hz to 20,000 Hz. Assuming a speed of sound of 343 m/s, determine the 5th lowest (5th harmonic present) frequency that the pipe can produce.",B. 276 Hz,C. 337 Hz
6,Incorrect,Yes,Guess,D3_L6_AnalyticGeometry,39,19,Find the eccentricity of the curve 9x^2 u2013 4y^2 u2013 36x + 8y = 4.,B. 1.86,A. 1.80
7,Correct,No,Sure I'm Right,D3_L11_Differential_Equations,47,1,"A tank has pure water flowing into it at 10 L/min. The contents of the tank are kept thoroughly mixed, and the contents flow out at 10 L/min. Initially, the tank contains 10 kg of salt in 100 L of water. How much salt will there be in the tank after 30 minutes?",D. 497.87g,D. 497.87g
8,Incorrect,No,Slightly Confident,D3_L15_Engineering_Mechanics,45,19,A motorcycle moving at 5 m/s accelerates uniformly at 3 m/s² for 4 s. Find the total distance traveled.,D. 48 m,C. 44 m
9,Incorrect,No,Slightly Confident,D3_L10_ProcessSafety,61,5,The _________ process determines whether exposure to a chemical can increase the incidence of adverse health effect.,C. Exposure assessment,B. Toxicity assessment
10,Correct,Yes,Guess,D3_L5_Geometry,4,13,What is the sum of the interior angles of a convex dodecagon?,D. 1800u00b0,D. 1800u00b0
11,Correct,No,Confident,D3_L11_Differential_Equations,11,4,Solve (x + y) dy = (x – y) dx,C. x² – 2xy – y² = C,C. x² – 2xy – y² = C
12,Correct,No,Slightly Confident,D3_L15_Engineering_Mechanics,19,7,A 3.0 kg box is at rest on a table. The static friction coefficient between the box and table is 0.40 and the kinetic friction coefficient is 0.10. A 10N horizontal force is applied to the box. What is the best estimate of the magnitude of the box's acceleration?,B. 0 m/s²,B. 0 m/s²
