Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
1,Incorrect,Yes,Slightly Confident,D1_L4_Organic_Chemistry,36,295,How many stereoisomers exist with the following basic connectivity? CH₃CHClCH₂CHClCH₃,B. 2,C. 3
2,Correct,No,Confident,D1_L1_Chem_for_Engineers,17,17,What happens to the entropy of the surroundings when an endothermic reaction occurs at constant pressure?,B. It decreases,B. It decreases
3,Correct,No,Sure I'm Right,D1_L3_Analytical_Chemistry,29,26,Find the pH at the following points in the titration of 50 mL of 0.02 M KOH with 0.1 M HBr. What is the pH at the initial point?,C. 12.3,C. 12.3
4,Incorrect,Yes,Guess,D1_L2_Environmental_EngSci,9,37,"What is the theoretical oxygen demand in liters of air for 50 mg/L solution of acetone, to decompose completely?",B. 0.224 L,C. 0.368 L
5,Incorrect,Yes,Guess,D1_L3_Analytical_Chemistry,5,329,How much water must be added to 50 mL of a 0.4 N solution of Cr₂(SO₄)₃•18H₂O in order to make it 0.05 M? The solution is to be used in the precipitation of chromium as the hydroxide.,B. 62.2 mL,C. 16.7 mL
6,Incorrect,No,Sure I'm Right,D1_L1_Chem_for_Engineers,62,5,Toxicants enter organisms through,B. Dermal absorption,D. Ail of above
7,Correct,No,Sure I'm Right,D1_L3_Analytical_Chemistry,34,6,Find the pH at the following points in the titration of 25 mL of 0.3 M HF with 0.3 M NaOH. The K_a value is 6.6x10⁻⁴. What is the pH after adding 25 mL of 0.3 M NaOH?,C. 8.18,C. 8.18
8,Incorrect,Yes,Guess,D1_L5_Material_Science_Engineering,39,19,"A piece of titanium originally 250 mm long is pulled in tension with a stress of 315 MPa. If the deformation is entirely elastic, what will be the elongation of the material? Modulus of elasticity = 107 GPa.",B. 0.55 mm,A. 0.74 mm
9,Incorrect,No,Confident,D1_L4_Organic_Chemistry,34,17,What is the maximum number of stereoisomers of an organic compound that contains 4 carbons?,A. 2,D. 16
10,Correct,No,Confident,D1_L2_Environmental_EngSci,104,16,What is the primary environmental concern with hydrofluorocarbons (HFCs)?,C. High global warming potential,C. High global warming potential
11,Incorrect,Yes,Guess,D1_L4_Organic_Chemistry,77,29,The ozonolysis product/s obtained from all the unbranched and unsymmetrical isomers of heptene is/are,B. an aldehyde and a ketone,D. two different aldehydes
