Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
1,Correct,Yes,Sure I'm Right,CT_PT_Quality_Assurance_Control,19,67,Which of the following observation(s) will require a process to stop immediately? I. Results lie outside action limits. II. Three consecutive measurements on one side of the central limit. III. Seven consecutive measurements create an increasing trend. IV. Values are within warning limits.,B. I and III,B. I and III
2,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,40,6,Which element has a valence-electron configuration of 5s² 5p³?,B. Antimony,B. Antimony
3,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,28,2,Which part of an electrochemical cell maintains electrical neutrality?,B. Salt bridge,B. Salt bridge
4,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,21,20,A reaction mixture needs to be cooled to −77°C after refluxing. What is the best method?,D. Dry ice–acetone mixture,D. Dry ice–acetone mixture
5,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,30,58,Which sequence correctly represents the basic path of radiation in a UV-Vis spectrophotometer?,C. source → monochromator → sample → detector,C. source → monochromator → sample → detector
6,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,17,29,A laboratory result is located beyond the warning limit but remains within the control limit. What does this indicate?,B. The process may be heading out of control and should be monitored closely,B. The process may be heading out of control and should be monitored closely
7,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,33,14,What is the formal charge of nitrogen in NH₄⁺?,C. +1,C. +1
8,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,67,17,A liquid with strong intermolecular forces generally has,C. Low vapor pressure,C. Low vapor pressure
9,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,18,19,The guard column in HPLC is positioned primarily to,A. protect the analytical column from contamination,A. protect the analytical column from contamination
10,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,68,10,Which arrangement shows increasing atomic size?,D. Ne < O < Ca < Cs,D. Ne < O < Ca < Cs
11,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,23,13,Certification is generally specific to a,"C. Product, process, or service","C. Product, process, or service"
12,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,56,12,"In determining the sugar concentration of powdered juice dissolved in water, which constitutes the matrix?",D. Powdered juice and water,D. Powdered juice and water
13,Correct,No,Confident,CT_PT_Quality_Assurance_Control,45,13,Which activity is most closely associated with Quality Control?,C. Verification of products before release,C. Verification of products before release
14,Incorrect,Yes,Slightly Confident,CT_PT_Quality_Assurance_Control,40,31,Internal Quality Assurance primarily ensures quality for,A. Clients,C. Laboratory management
15,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,43,14,Which bath can commonly be used at temperatures greater than 250 °C?,C. sand bath,C. sand bath
16,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,58,17,"Consider the reaction: 2H₂ + O₂ → 2H₂O. If 3.0 mol H₂ reacts with 2.0 mol O₂, which reactant is limiting and how much H₂O forms?",A. H₂ is limiting; 3.0 mol H₂O forms.,A. H₂ is limiting; 3.0 mol H₂O forms.
