Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
1,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,20,29,What is the name of BF3?,A. Boron trifluoride,A. Boron trifluoride
2,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,45,7,Possible sources of contamination during sample preparation include,D. All of the above,D. All of the above
3,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,35,6,Which of the following will require the highest amount of energy to increase its surface area?,A. Butanol,A. Butanol
4,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,41,6,"To determine the density of a liquid, which of the following should be used?",C. Pycnometer,C. Pycnometer
5,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,18,9,The part of an electrochemical cell where oxidation occurs,A. Anode,A. Anode
6,Correct,No,Sure I'm Right,CT_Organic_Chemistry,7,32,"Given the molecular formula C4H10O, it could possibly be a/an?",D. Alcohol or ether,D. Alcohol or ether
7,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,25,14,What is the chemical formula of cobaltic oxide?,D. Co2O3,D. Co2O3
8,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,20,12,Electrochemical cells where electrical energy is used to drive a nonspontaneous redox reaction.,D. Electrolytic cell,D. Electrolytic cell
9,Correct,No,Sure I'm Right,CT_Organic_Chemistry,61,48,All of the following statements are true except,A. Two different pure substances have similar melting points,A. Two different pure substances have similar melting points
10,Incorrect,No,Sure I'm Right,CT_Organic_Chemistry,36,21,What is the product of the reaction of benzyl alcohol with acidified potassium permanganate?,B. Benzaldehyde,A. Benzoic acid
11,Correct,No,Confident,CT_Organic_Chemistry,35,45,What is produced when a primary alcoholreacts with the given reagent? Pyridinium chlorochromate,B. Acetaldehyde,B. Acetaldehyde
12,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,28,10,Sodium carbonate is also known as?,B. Soda ash,B. Soda ash
13,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,41,19,The following are observed characteristics of gases except,C. Pressure exerted bya gas decreases with increase in temperature,C. Pressure exerted bya gas decreases with increase in temperature
14,Incorrect,No,Confident,CT_Organic_Chemistry,44,76,Carbonyl compounds undergo this type of reaction ?,A. Electrophilic addition,B. Nucleophilic addition
15,Correct,No,Guess,CT_Organic_Chemistry,28,7,Which reaction mechanism applies to the given reaction?,B. SN2,B. SN2
16,Incorrect,No,Sure I'm Right,CT_Organic_Chemistry,58,21,Which of the following is/are considered in purification using crystallization? I. Polarity II. Solubility III. Vapor pressure,B. Il only,C. I and Il only
17,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,18,5,What is the molecular geometry of chlorate?,"C. Trigonal pyramidal,","C. Trigonal pyramidal,"
18,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,21,5,What is the name of MgH2,C. Magnesium hydride,C. Magnesium hydride
19,Correct,No,Guess,CT_Inorganic_Chemistry,10,8,What is the wavelength of light (nm) if it has a frequency of 600 THz?,B. 500,B. 500
20,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,26,9,"If you reported that a sample with 9 mg/L of a substance only has 5 mg/L and the acceptable limit according to standard is 7 mg/L, this is",B. False negative,B. False negative
21,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,15,7,Which group in the periodic table reacts with water at a slower rate to form basic hydroxide solutions?,B. Group 2,B. Group 2
22,Correct,No,Sure I'm Right,CT_Organic_Chemistry,10,27,"In this type of reaction, one sigma bond breaks and another forms at the same carbon atom",B. substitution,B. substitution
23,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,35,7,Objects cannot be weighed when hot or warm. But if you were to take a sample out and wait for it to cool it would pick up moisture so it should be placed in a/an,B. Desiccator,B. Desiccator
24,Correct,No,Sure I'm Right,CT_Organic_Chemistry,60,8,"In crystallization, crystal phases can be interconverted by varying",A. Temperature,A. Temperature
25,Correct,No,Not Set,CT_Inorganic_Chemistry,6,73,A colorless liquid and a yellowish liquid is mixed in a test tube. Which of the following is incorrect?,A. There will be no reaction if the test tube becomes hot,A. There will be no reaction if the test tube becomes hot
26,Correct,No,Sure I'm Right,CT_Organic_Chemistry,51,16,Which of the following is not a common laboratory technique used in organic chemistry?,D. Titration,D. Titration
27,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,34,9,The following will cause drift errors in an analytical balance except,D. Temperature of the balance and the sample to be weighed is the same.,D. Temperature of the balance and the sample to be weighed is the same.
28,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,7,16,The acid secreted by the cell of the stomach lining is a hydrochloric acid solution that typically contains 1.2 x 10-3 M. what is the pH of the acid in the stomach?,B. 2.92,B. 2.92
29,Incorrect,No,Guess,CT_Organic_Chemistry,17,7,Which of the following reagents can perform the given reaction?,"B. Br2, CH2Cl2","C. O3, DMS"
30,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,44,20,The size of the sample taken for analysis depends on?,D. All of the above,D. All of the above
31,Correct,No,Sure I'm Right,CT_Organic_Chemistry,54,24,Which of the following should not be done when an emulsion is formed during extraction,D. Shaking the separatory funnel containing the mixture very vigorously,D. Shaking the separatory funnel containing the mixture very vigorously
32,Correct,No,Sure I'm Right,CT_Organic_Chemistry,12,33,"Compared to ionic compounds of similar molar mass, hydrocarbons typically have I. Higher water solubility II. Higher melting points",D. None of the above,D. None of the above
33,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,24,7,What is the chemical formula of hypobromous acid?,B. HBrO,B. HBrO
